0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
"14
4",BM,BM-87,Satara,"1863
.4",928.9,0,"2792.
3","1677
.0",882.4,0,"2559.
5",34.1,31.7,,65.8,0.0,0,,0,"657.
8",963.0,,"1620.
8","692.
0",994.7,,"1686.
7",34.1,31.7,0,65.8,"985.
1",0.0,0,985.1,"41.
3","11
2.7",,"65.
9",safe,"over_ex
ploited",,safe
"14
5",BM,BM-87,"Solapu
r","574.
3",359.2,0,933.5,"545.
6",341.3,0,886.8,23.7,7.9,,31.6,0.0,0,,0,"955.
4",308.0,,"1263.
4","979.
0",315.9,,"1295.
0",23.7,8.0,0,31.6,0,25.3,0,25.3,"17
9.5","92.
6",,"14
6.0","over_ex
ploited",critical,,"over_ex
ploited"
"14
6",BM,BM-88,Satara,0,173.5,0,173.5,0,164.8,0,164.8,,30.2,,30.2,,0,,0,,66.6,,66.6,,96.8,,96.8,0,30.2,0,30.2,0,68.0,0,68.0,,"58.
7",,"58.
7",,safe,,safe
"14
7",BM,BM-88,"Solapu
r","3090
.4","2587.
7",0,"5678.
1","2935
.9","2458.
3",0,"5394.
1",77.7,95.3,,"173.
0",0.0,0,,0,"1380
.5","2412.
9",,"3793.
4","1458
.2","2508.
2",,"3966.
4",77.7,95.3,0,"173.
0","1477
.7",0.0,0,"1477.
7","49.
7","10
2.0",,"73.
5",safe,"over_ex
ploited",,"semi_cri
tical"
"14
8",BM,BM-89,Satara,0,132.5,0,132.5,0,125.9,0,125.9,,24.0,,24.0,,0,,0,,26.3,,26.3,,50.4,,50.4,0,24.0,0,24.0,0,75.6,0,75.6,,"40.
0",,"40.
0",,safe,,safe
"S.
No","BAS
IN","WATER
SHED","Water
shed / 
Distric
t","Annual Ground water 
Recharge (ham)",,,,"Annual Extractable Ground 
water Resource (ham)",,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,"Allocation of Ground 
Water Resource for 
Domestic Utilisation for 
projected year 2025 
(ham)",,,,"Net Annual Ground Water 
Availability for Future Use 
(ham)",,,,"Stage of Ground 
Water Extraction 
(%)",,,,Categorization of Assessment Unit,,,
,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,,,,
,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,P Q,"Tot
al",C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,"To
tal",C,NC,PQ,Total
"14
9",BM,BM-89,"Solapu
r","2439
.8","1702.
2",0,"4142.
0","2317
.8","1617.
1",0,"3934.
9",40.1,59.9,,"100.
1",0.0,0,,0,"1863
.6","2252.
1",,"4115.
7","1903
.7","2312.
1",,"4215.
8",40.1,59.9,0,"100.
1","414.
1",0.0,0,414.1,"82.
1","14
3.0",,"10
7.1","semi_cri
tical","over_ex
ploited",,"over_ex
ploited"
"15
0",BM,BM-9,"Osman
abad","269.
3","3128.
0",0,"3397.
2","255.
8","2971.
6",0,"3227.
4",12.5,62.4,,74.9,0.0,0,,0,"159.
9","1851.
9",,"2011.
8","172.
4","1914.
4",,"2086.
8",12.5,62.5,0,74.9,83.4,"1057.
2",0,"1140.
6","67.
4","64.
4",,"64.
7",safe,safe,,safe
"15
1",BM,BM-9,Pune,"1510
.4","1593.
6",0,"3104.
0","1359
.4","1513.
9",0,"2873.
3",56.5,70.6,,"127.
2",0.0,0,,0,"663.
0","1743.
4",,"2406.
4","719.
6","1814.
0",,"2533.
6",56.5,70.6,0,"127.
2","639.
8",0.0,0,639.8,"52.
9","11
9.8",,"88.
2",safe,"over_ex
ploited",,"semi_cri
tical"
"15
2",BM,BM-90,"Solapu
r","4110
.2","1046.
0",0,"5156.
1","3904
.6",993.7,0,"4898.
3","109.
7",95.5,,"205.
2",0.0,0,,0,"5621
.4",566.5,,"6187.
9","5731
.1",662.0,,"6393.
1","109.
7",95.5,0,"205.
2",0,331.6,0,331.6,"14
6.8","66.
6",,"13
0.5","over_ex
ploited",safe,,"over_ex
ploited"
"15
3",BM,BM-91,"Solapu
r","1015
.0","1297.
3",0,"2312.
2","964.
2","1232.
4",0,"2196.
6",32.7,45.6,,78.4,0.0,0,,0,"262.
8",701.4,,964.2,"295.
5",747.0,,"1042.
5",32.7,45.6,0,78.4,"668.
7",485.4,0,"1154.
1","30.
6","60.
6",,"47.
5",safe,safe,,safe
"15
4",BM,BM-92,"Solapu
r","1036
.5","1807.
8",0,"2844.
3","984.
7","1717.
4",0,"2702.
1",40.5,34.6,,75.2,0.0,0,,0,"472.
7","1468.
9",,"1941.
6","513.
3","1503.
5",,"2016.
8",40.5,34.6,0,75.2,"471.
4",213.9,0,685.3,"52.
1","87.
5",,"74.
6",safe,"semi_cri
tical",,"semi_cri
tical"
"15
5",BM,BM-93,"Solapu
r","1666
.4","3584.
0",0,"5250.
5","1583
.1","3404.
8",0,"4987.
9",39.5,31.0,,70.4,0.0,0,,0,"4067
.3","2615.
3",,"6682.
6","4106
.8","2646.
3",,"6753.
1",39.5,31.0,0,70.4,0,758.5,0,758.5,"25
9.4","77.
7",,"13
5.4","over_ex
ploited","semi_cri
tical",,"over_ex
ploited"
"15
6",BM,BM-94,"Solapu
r","1583
.1",902.8,0,"2485.
9","1503
.9",857.7,0,"2361.
6",31.6,19.1,,50.7,0.0,0,,0,"893.
7",885.4,,"1779.
1","925.
3",904.6,,"1829.
8",31.6,19.1,0,50.7,"578.
7",0.0,0,578.7,"61.
5","10
5.5",,"77.
5",safe,"over_ex
ploited",,"semi_cri
tical"
"15
7",BM,BM-95,"Solapu
r","747.
4","1143.
0",0,"1890.
5","710.
1","1085.
9",0,"1795.
9",42.5,55.9,,98.4,0.0,0,,0,"459.
8","1185.
3",,"1645.
1","502.
4","1241.
2",,"1743.
6",42.5,55.9,0,98.4,"207.
7",0.0,0,207.7,"70.
8","11
4.3",,"97.
1","semi_cri
tical","over_ex
ploited",,critical
"15
8",BM,BM-96,"Solapu
r","3642
.2",20.0,0,"3662.
2","3460
.1",18.0,0,"3478.
1","100.
0",,,"100.
0",0.0,,,0,"2399
.6",,,"2399.
6","2499
.6",,,"2499.
6","100.
0",0.0,0,"100.
0","960.
5",18.0,0,978.5,"72.
2",,,"71.
9","semi_cri
tical",,,"semi_cri
tical"
"15
9",BM,BM-97,"Solapu
r","1687
.8","2930.
9",0,"4618.
7","1603
.4","2784.
4",0,"4387.
8",36.6,77.4,,"114.
0",0.0,0,,0,"803.
0","1574.
1",,"2377.
1","839.
6","1651.
5",,"2491.
1",36.6,77.5,0,"114.
0","763.
8","1132.
9",0,"1896.
7","52.
4","59.
3",,"56.
8",safe,safe,,safe
"16
0",BM,BM-98,"Solapu
r","950.
0",711.2,0,"1661.
2","902.
5",675.6,0,"1578.
1",22.5,16.0,,38.5,0.0,0,,0,"457.
6",500.8,,958.4,"480.
1",516.8,,996.9,22.5,16.0,0,38.5,"422.
4",158.9,0,581.2,"53.
2","76.
5",,"63.
2",safe,"semi_cri
tical",,safe
"16
1",BM,BM-99,"Solapu
r","1746
.4","1688.
5",0,"3434.
9","1659
.0","1604.
1",0,"3263.
1",38.2,34.6,,72.8,0.0,0,,0,"950.
5","2156.
5",,"3107.
0","988.
8","2191.
1",,"3179.
8",38.3,34.6,0,72.9,"670.
3",0.0,0,670.3,"59.
6","13
6.6",,"97.
4",safe,"over_ex
ploited",,critical
"16
2","WF_
1",Borivali,"Mumb
ai Sub",0,"2718.
7",0,"2718.
7",0,"2582.
7",0,"2582.
7",,"595.
9",,"595.
9",,"29.
2",,"29.
2",,0.0,,0,,625.1,,625.1,0,"595.
9",0,"595.
9",0,"1957.
7",0,"1957.
7",,"24.
2",,"24.
2",,safe,,safe
"16
3",GP,GP-1,"Buldha
na","207.
5","1242.
5",0,"1450.
0","197.
2","1118.
2",0,"1315.
4",27.5,33.0,,60.5,0.0,0,,0,13.6,682.9,,696.5,41.1,715.9,,757.0,27.5,33.0,0,60.5,"156.
1",402.4,0,558.4,"20.
8","64.
0",,"57.
5",safe,safe,,safe
"16
4",GP,GP-1,"Aurang
abad","588.
6","4984.
6",0,"5573.
2","559.
1","4735.
4",0,"5294.
5",22.7,91.5,,"114.
1",0.0,0,,0,"416.
6","2630.
5",,"3047.
1","439.
2","2722.
0",,"3161.
3",22.7,91.5,0,"114.
1","119.
9","2013.
3",0,"2133.
2","78.
6","57.
5",,"59.
7","semi_cri
tical",safe,,safe
"16
5",GP,GP-10,"Aurang
abad","479.
3","2420.
8",0,"2900.
1","455.
4","2299.
8",0,"2755.
1",20.3,"120.
0",,"140.
3",0.0,0,,0,"211.
2","1526.
6",,"1737.
8","231.
5","1646.
6",,"1878.
1",20.3,"120.
0",0,"140.
3","223.
8",653.2,0,877.0,"50.
8","71.
6",,"68.
2",safe,"semi_cri
tical",,safe
"16
6",GP,GP-11,Jalna,"347.
6","1702.
9",0,"2050.
5","330.
2","1617.
8",0,"1948.
0",7.6,19.5,,27.1,1.2,0.6,,1.8,"141.
1",808.4,,949.5,"149.
9",828.5,,978.4,38.8,45.4,0,84.2,"149.
1",763.4,0,912.5,"45.
4","51.
2",,"50.
2",safe,safe,,safe
"16
7",GP,GP-11,"Aurang
abad","122.
5",967.4,0,"1089.
9","110.
2",919.0,0,"1029.
2",0.0,43.5,,43.5,0.0,0,,0,98.3,555.0,,653.3,98.3,598.6,,696.9,0,43.5,0,43.5,12.0,320.4,0,332.4,"89.
2","65.
1",,"67.
7","semi_cri
tical",safe,,safe
"16
8",GP,"GP-12 
B",Jalna,7.0,849.3,0,856.3,6.3,806.9,0,813.2,,15.4,,15.4,,0,,0,,505.8,,505.8,,521.2,,521.2,0,43.9,0,43.9,6.3,257.2,0,263.5,,"64.
6",,"64.
1",,safe,,safe
"16
9",GP,GP-13,Jalna,"130.
2",844.5,0,974.8,"123.
7",802.3,0,926.0,9.9,15.7,,25.7,0.0,2.2,,2.2,91.0,682.4,,773.4,"100.
9",700.3,,801.2,30.6,"598.
3",0,"628.
9",2.2,102.0,0,104.2,"81.
6","87.
3",,"86.
5","semi_cri
tical","semi_cri
tical",,"semi_cri
tical"
"17
0",GP,"GP-13 
A","Aurang
abad","964.
4",369.1,0,"1333.
5","916.
2",350.6,0,"1266.
8",23.1,10.0,,33.1,0.0,0,,0,"540.
8",164.2,,704.9,"563.
9",174.1,,738.0,23.1,10.0,0,33.1,"352.
4",176.5,0,528.8,"61.
5","49.
7",,"58.
3",safe,safe,,safe
"17
1",GP,GP-14,"Aurang
abad",0,"1154.
5",0,"1154.
5",0,"1096.
8",0,"1096.
8",,27.4,,27.4,,0,,0,,679.9,,679.9,,707.3,,707.3,0,27.4,0,27.4,0,389.5,0,389.5,,"64.
5",,"64.
5",,safe,,safe
"17
2",GP,"GP-14 
B",Jalna,0,682.1,0,682.1,0,648.0,0,648.0,,16.4,,16.4,,0.1,,0.1,,520.2,,520.2,,536.7,,536.7,0,39.1,0,39.1,0,88.6,0,88.6,,"82.
8",,"82.
8",,"semi_cri
tical",,"semi_cri
tical"
"17
3",GP,GP-15,Jalna,0,348.4,0,348.4,0,331.0,0,331.0,,9.0,,9.0,,0,,0,,202.3,,202.3,,211.3,,211.3,0,24.1,0,24.1,0,104.7,0,104.7,,"63.
8",,"63.
8",,safe,,safe
"17
4",GP,GP-15,"Aurang
abad",0,"1488.
0",0,"1488.
0",0,"1413.
6",0,"1413.
6",,44.2,,44.2,,0,,0,,"1117.
1",,"1117.
1",,"1161.
4",,"1161.
4",0,44.2,0,44.2,0,252.2,0,252.2,,"82.
2",,"82.
2",,"semi_cri
tical",,"semi_cri
tical"
"17
5",GP,GP-16,Jalna,5.7,657.0,0,662.8,5.2,624.2,0,629.3,,32.4,,32.4,,0.8,,0.8,,387.0,,387.0,,420.1,,420.1,0,43.3,0,43.3,5.2,193.1,0,198.2,,"67.
3",,"66.
8",,safe,,safe
"17
6",GP,GP-16,"Aurang
abad","800.
7",679.5,0,"1480.
2","760.
7",645.5,0,"1406.
2",29.2,52.2,,81.4,0.0,0,,0,"525.
9",452.2,,978.1,"555.
2",504.4,,"1059.
6",29.3,52.2,0,81.4,"205.
5",141.1,0,346.7,"73.
0","78.
1",,"75.
3","semi_cri
tical","semi_cri
tical",,"semi_cri
tical"
"17
7",GP,GP-17,"Aurang
abad","789.
7","1726.
6",0,"2516.
2","750.
2","1640.
2",0,"2390.
4",30.2,24.3,,54.5,0.0,0,,0,"567.
8","1234.
8",,"1802.
6","598.
0","1259.
1",,"1857.
0",30.2,24.3,0,54.5,"152.
2",381.2,0,533.4,"79.
7","76.
8",,"77.
7","semi_cri
tical","semi_cri
tical",,"semi_cri
tical"
"17
8",GP,GP-17,Jalna,0,424.2,0,424.2,0,381.8,0,381.8,,30.1,,30.1,,0,,0,,249.4,,249.4,,279.5,,279.5,0,30.1,0,30.1,0,102.3,0,102.3,,"73.
2",,"73.
2",,"semi_cri
tical",,"semi_cri
tical"
"17
9",GP,GP-17,"Aurang
abad",1.4,561.4,0,562.8,1.2,533.4,0,534.6,,34.4,,34.4,,0,,0,,242.4,,242.4,,276.8,,276.8,0,34.4,0,34.4,1.2,256.6,0,257.8,,"51.
9",,"51.
8",,safe,,safe
"18
0",GP,"GP-17 
B",Jalna,0,669.4,0,669.4,0,635.9,0,635.9,,33.6,,33.6,,0,,0,,464.9,,464.9,,498.4,,498.4,0,43.2,0,43.2,0,127.9,0,127.9,,"78.
4",,"78.
4",,"semi_cri
tical",,"semi_cri
tical"
"18
1",GP,"GP-18 
A",Jalna,"272.
0","2368.
1",0,"2640.
1","258.
4","2249.
7",0,"2508.
1",3.8,54.2,,58.0,0.2,1.3,,1.5,91.4,"1152.
3",,"1243.
7",95.4,"1207.
8",,"1303.
2",61.3,"140.
7",0,"202.
0","105.
4",955.4,0,"1060.
9","36.
9","53.
7",,"52.
0",safe,safe,,safe
"18
2",GP,"GP-18 
A","Aurang
abad",0,715.3,0,715.3,0,679.5,0,679.5,,8.5,,8.5,,0,,0,,374.4,,374.4,,382.9,,382.9,0,8.5,0,8.5,0,296.7,0,296.7,,"56.
3",,"56.
3",,safe,,safe
"18
3",GP,GP-19,Jalna,0,"1086.
6",0,"1086.
6",0,"1032.
3",0,"1032.
3",,17.5,,17.5,,0,,0,,692.5,,692.5,,710.0,,710.0,0,44.0,0,44.0,0,295.7,0,295.7,,"68.
8",,"68.
8",,safe,,safe
"18
4",GP,GP-2,"Aurang
abad","252.
6","4430.
2",0,"4682.
8","240.
0","4208.
7",0,"4448.
6",12.4,95.8,,"108.
1",0.0,0,,0,"162.
0","2463.
2",,"2625.
2","174.
4","2558.
9",,"2733.
3",12.4,95.8,0,"108.
1",65.6,"1649.
7",0,"1715.
3","72.
7","60.
8",,"61.
4","semi_cri
tical",safe,,safe
"18
5",GP,GP-2,"Buldha
na",79.0,938.7,0,"1017.
8",75.1,891.8,0,966.9,7.1,45.2,,52.3,0.0,0,,0,9.2,521.7,,531.0,16.3,566.9,,583.3,7.1,45.2,0,52.3,58.7,324.9,0,383.6,"21.
8","63.
6",,"60.
3",safe,safe,,safe
"18
6",GP,GP-20,Jalna,0,"2541.
1",0,"2541.
1",0,"2414.
0",0,"2414.
0",,63.5,,63.5,,0.7,,0.7,,"1201.
0",,"1201.
0",,"1265.
1",,"1265.
1",0,"102.
2",0,"102.
2",0,"1110.
1",0,"1110.
1",,"52.
4",,"52.
4",,safe,,safe
"S.
No","BAS
IN","WATER
SHED","Water
shed / 
Distric
t","Annual Ground water 
Recharge (ham)",,,,"Annual Extractable Ground 
water Resource (ham)",,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,"Allocation of Ground 
Water Resource for 
Domestic Utilisation for 
projected year 2025 
(ham)",,,,"Net Annual Ground Water 
Availability for Future Use 
(ham)",,,,"Stage of Ground 
Water Extraction 
(%)",,,,Categorization of Assessment Unit,,,
,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,,,,
,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,P Q,"Tot
al",C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,"To
tal",C,NC,PQ,Total
"18
7",GP,GP-21,Jalna,"276.
8","3107.
7",0,"3384.
5","249.
1","2952.
4",0,"3201.
4",9.6,19.0,,28.6,0.2,0.4,,0.7,89.1,"1969.
0",,"2058.
1",98.9,"1988.
4",,"2087.
3",9.6,"124.
9",0,"134.
4","150.
2",858.1,0,"1008.
3","39.
7","67.
3",,"65.
2",safe,safe,,safe
"18
8",GP,GP-22,Jalna,68.6,842.9,0,911.5,65.2,800.8,0,866.0,2.8,16.1,,18.9,2.0,2.0,,4.0,42.8,428.9,,471.6,47.6,447.0,,494.5,18.3,66.1,0,84.4,2.1,303.8,0,306.0,"73.
0","55.
8",,"57.
1","semi_cri
tical",safe,,safe
"18
9",GP,GP-23,Jalna,0,"2113.
6",0,"2113.
6",0,"2008.
0",0,"2008.
0",,34.7,,34.7,,1.5,,1.5,,"1016.
4",,"1016.
4",,"1052.
6",,"1052.
6",0,87.4,0,87.4,0,902.7,0,902.7,,"52.
4",,"52.
4",,safe,,safe
"19
0",GP,GP-24,Jalna,"430.
9",339.1,0,770.0,"409.
4",322.1,0,731.5,6.1,8.6,,14.6,2.0,2.0,,4.0,"277.
4",172.6,,450.1,"285.
5",183.2,,468.7,6.1,8.6,0,14.6,"123.
9",138.9,0,262.8,"69.
7","56.
9",,"64.
1",safe,safe,,safe
"19
1",GP,GP-24,"Aurang
abad",0,389.1,0,389.1,0,369.7,0,369.7,,7.2,,7.2,,0,,0,,178.4,,178.4,,185.6,,185.6,0,7.2,0,7.2,0,184.1,0,184.1,,"50.
2",,"50.
2",,safe,,safe
"19
2",GP,GP-25,Jalna,0,787.1,0,787.1,0,747.8,0,747.8,,20.0,,20.0,,0,,0,,454.2,,454.2,,474.2,,474.2,0,34.8,0,34.8,0,258.7,0,258.7,,"63.
4",,"63.
4",,safe,,safe
"19
3",GP,GP-26,Jalna,"171.
7","1494.
6",0,"1666.
4","163.
1","1419.
9",0,"1583.
0",3.2,19.8,,23.0,0.0,0,,0,55.7,877.7,,933.4,58.9,897.5,,956.3,8.9,90.4,0,99.4,98.5,451.8,0,550.3,"36.
1","63.
2",,"60.
4",safe,safe,,safe
"19
4",GP,GP-27,Jalna,26.6,"1792.
6",0,"1819.
2",24.0,"1703.
0",0,"1726.
9",,56.1,,56.1,,0.3,,0.3,,"1073.
5",,"1073.
5",,"1130.
0",,"1130.
0",0,"106.
3",0,"106.
3",24.0,522.8,0,546.8,,"66.
4",,"65.
4",,safe,,safe
"19
5",GP,GP-28,Jalna,"314.
1","1855.
4",0,"2169.
5","298.
4","1762.
7",0,"2061.
0",8.0,27.4,,35.4,0.5,0.4,,0.9,"149.
0","1039.
0",,"1188.
0","157.
5","1066.
8",,"1224.
3",57.5,37.9,0,95.4,91.4,685.4,0,776.8,"52.
8","60.
5",,"59.
4",safe,safe,,safe
"19
6",GP,GP-29,Jalna,"242.
5","4104.
6",0,"4347.
1","230.
4","3899.
3",0,"4129.
7",7.0,36.8,,43.8,0.0,0.4,,0.4,"183.
5","2508.
3",,"2691.
8","190.
5","2545.
5",,"2736.
0","601.
6","350.
3",0,"951.
9",39.9,"1040.
4",0,"1080.
3","82.
7","65.
3",,"66.
3","semi_cri
tical",safe,,safe
"19
7",GP,GP-3,"Washi
m","178.
1",719.8,0,897.8,"169.
2",683.8,0,852.9,0.0,49.4,,49.4,0.0,0,,0,4.8,271.9,,276.7,4.8,321.3,,326.1,0,49.4,0,49.4,"164.
4",362.5,0,526.9,2.8,"47.
0",,"38.
2",safe,safe,,safe
"19
8",GP,GP-3,"Aurang
abad","1191
.4","3484.
0",0,"4675.
3","1131
.8","3309.
8",0,"4441.
6",40.9,"133.
9",,"174.
9",0.0,0,,0,"991.
9","2086.
2",,"3078.
0","1032
.8","2220.
1",,"3252.
9",40.9,"133.
9",0,"174.
9",99.0,"1089.
7",0,"1188.
6","91.
3","67.
1",,"73.
2",critical,safe,,"semi_cri
tical"
"19
9",GP,GP-30,Jalna,45.6,"1578.
2",0,"1623.
8",41.0,"1499.
3",0,"1540.
3",,47.7,,47.7,,3.5,,3.5,,881.4,,881.4,,932.6,,932.6,0,61.0,0,61.0,41.0,553.5,0,594.5,,"62.
2",,"60.
5",,safe,,safe
"20
0",GP,GP-31,Jalna,"175.
1","2792.
0",0,"2967.
1","166.
3","2652.
4",0,"2818.
7",3.7,25.6,,29.3,0.0,0.5,,0.5,"123.
6","1577.
1",,"1700.
7","127.
3","1603.
2",,"1730.
5",7.4,93.9,0,"101.
3",35.4,980.8,0,"1016.
2","76.
5","60.
4",,"61.
4","semi_cri
tical",safe,,safe
"20
1",GP,"GP-32 
A",Jalna,"210.
6","1837.
7",0,"2048.
3","200.
1","1745.
8",0,"1945.
9",2.9,14.6,,17.5,0.4,0,,0.4,"124.
2",806.8,,931.0,"127.
5",821.4,,948.9,2.9,53.1,0,56.0,72.6,886.0,0,958.6,"63.
7","47.
0",,"48.
8",safe,safe,,safe
"20
2",GP,"GP-32 
A",Jalna,25.1,"1356.
2",0,"1381.
3",22.6,"1288.
4",0,"1311.
0",,21.2,,21.2,,0,,0,,762.0,,762.0,,783.2,,783.2,0,55.0,0,55.0,22.6,471.4,0,494.0,,"60.
8",,"59.
7",,safe,,safe
"20
3",GP,GP-33,Jalna,11.2,"1154.
3",0,"1165.
5",10.1,"1096.
5",0,"1106.
6",,25.9,,25.9,,2.4,,2.4,,875.6,,875.6,,903.9,,903.9,0,83.2,0,83.2,10.1,135.3,0,145.4,,"82.
4",,"81.
7",,"semi_cri
tical",,"semi_cri
tical"
"20
4",GP,GP-34,Jalna,0,521.0,0,521.0,0,494.9,0,494.9,,26.9,,26.9,,0.1,,0.1,,328.3,,328.3,,355.4,,355.4,0,39.1,0,39.1,0,127.3,0,127.3,,"71.
8",,"71.
8",,"semi_cri
tical",,"semi_cri
tical"
"20
5",GP,"GP-35 
A",Jalna,0,643.4,0,643.4,0,579.1,0,579.1,,40.6,,40.6,,0,,0,,349.0,,349.0,,389.7,,389.7,0,56.8,0,56.8,0,173.2,0,173.2,,"67.
3",,"67.
3",,safe,,safe
"20
6",GP,"GP-35 
B",Jalna,0,714.9,0,714.9,0,679.2,0,679.2,,30.7,,30.7,,8.8,,8.8,,428.0,,428.0,,467.5,,467.5,0,"115.
8",0,"115.
8",0,126.6,0,126.6,,"68.
8",,"68.
8",,safe,,safe
"20
7",GP,"GP-36 
A",Jalna,0,279.5,0,279.5,0,265.5,0,265.5,,10.6,,10.6,,0,,0,,142.0,,142.0,,152.6,,152.6,0,17.2,0,17.2,0,106.4,0,106.4,,"57.
5",,"57.
5",,safe,,safe
"20
8",GP,"GP-36 
B","Parbha
ni",4.7,"1945.
1",0,"1949.
7",4.2,"1847.
8",0,"1852.
0",,52.2,,52.2,,0,,0,,622.0,,622.0,,674.2,,674.2,0,52.2,0,52.2,4.2,"1173.
6",0,"1177.
8",,"36.
5",,"36.
4",,safe,,safe
"20
9",GP,"GP-36 
B",Jalna,0,"2815.
1",0,"2815.
1",0,"2674.
3",0,"2674.
3",,67.7,,67.7,,"21.
9",,"21.
9",,816.5,,816.5,,906.1,,906.1,0,92.7,0,92.7,0,"1743.
2",0,"1743.
2",,"33.
9",,"33.
9",,safe,,safe
"21
0",GP,"GP-37 
A",Jalna,0,323.3,0,323.3,0,307.1,0,307.1,,14.8,,14.8,,0,,0,,170.1,,170.1,,184.9,,184.9,0,18.2,0,18.2,0,118.9,0,118.9,,"60.
2",,"60.
2",,safe,,safe
"21
1",GP,"GP-37 
B",Jalna,0,"2929.
0",0,"2929.
0",0,"2782.
5",0,"2782.
5",,50.0,,50.0,,0,,0,,617.4,,617.4,,667.4,,667.4,0,53.2,0,53.2,0,"2111.
9",0,"2111.
9",,"24.
0",,"24.
0",,safe,,safe
"21
2",GP,"GP-37 
B","Parbha
ni",12.0,"1520.
7",0,"1532.
6",10.8,"1444.
6",0,"1455.
4",,33.5,,33.5,,0,,0,,898.6,,898.6,,932.0,,932.0,0,33.5,0,33.5,10.8,512.6,0,523.4,,"64.
5",,"64.
0",,safe,,safe
"21
3",GP,GP-38,Jalna,"421.
5","1750.
8",0,"2172.
2","400.
4","1663.
2",0,"2063.
6",10.1,10.5,,20.6,0.4,0,,0.4,"121.
0",928.3,,"1049.
2","131.
4",938.8,,"1070.
2",40.5,61.4,0,"102.
0","238.
5",673.5,0,912.0,"32.
8","56.
4",,"51.
9",safe,safe,,safe
"21
4",GP,"GP-39 
A",Jalna,0,607.0,0,607.0,0,576.7,0,576.7,,12.1,,12.1,,0,,0,,331.9,,331.9,,344.0,,344.0,0,18.9,0,18.9,0,225.9,0,225.9,,"59.
7",,"59.
7",,safe,,safe
"21
5",GP,"GP-39 
B",Jalna,70.1,"1572.
9",0,"1642.
9",66.6,"1494.
2",0,"1560.
8",2.0,18.1,,20.1,0.0,0.9,,0.9,25.2,758.5,,783.7,27.2,777.5,,804.7,5.3,61.2,0,66.4,36.1,673.7,0,709.8,"40.
9","52.
0",,"51.
6",safe,safe,,safe
"21
6",GP,GP-4,"Buldha
na","438.
5","2179.
7",0,"2618.
2","394.
7","1961.
7",0,"2356.
4",32.9,33.7,,66.7,0.0,0,,0,"194.
5","1183.
3",,"1377.
7","227.
4","1217.
0",,"1444.
4",32.9,33.7,0,66.7,"167.
3",744.8,0,912.0,"57.
6","62.
0",,"61.
3",safe,safe,,safe
"21
7",GP,GP-4,"Washi
m",0,186.5,0,186.5,0,177.2,0,177.2,,10.6,,10.6,,0,,0,,79.4,,79.4,,90.1,,90.1,0,10.6,0,10.6,0,87.1,0,87.1,,"50.
9",,"50.
9",,safe,,safe
"21
8",GP,GP-4,"Aurang
abad","368.
2","1448.
5",0,"1816.
6","349.
8","1376.
0",0,"1725.
8",9.3,65.1,,74.4,0.0,0,,0,"267.
3",961.1,,"1228.
4","276.
6","1026.
2",,"1302.
9",9.3,65.1,0,74.4,73.1,349.8,0,423.0,"79.
1","74.
6",,"75.
5","semi_cri
tical","semi_cri
tical",,"semi_cri
tical"
"21
9",GP,GP-40,Hingoli,0,77.6,0,77.6,0,73.7,0,73.7,,1.1,,1.1,,0,,0,,20.4,,20.4,,21.5,,21.5,0,1.1,0,1.1,0,52.3,0,52.3,,"29.
1",,"29.
1",,safe,,safe
"22
0",GP,GP-40,Jalna,4.0,"1008.
8",0,"1012.
8",3.6,958.4,0,962.0,,14.8,,14.8,,0,,0,,334.8,,334.8,,349.6,,349.6,0,34.3,0,34.3,3.6,589.2,0,592.9,,"36.
5",,"36.
3",,safe,,safe
"22
1",GP,GP-41,Jalna,63.4,"2144.
2",0,"2207.
6",57.0,"2037.
0",0,"2094.
0",3.2,33.8,,37.0,0.0,0.2,,0.2,20.5,639.0,,659.5,23.7,673.1,,696.8,13.2,"122.
7",0,"135.
9",23.3,"1275.
0",0,"1298.
3","41.
5","33.
0",,"33.
3",safe,safe,,safe
"22
2",GP,"GP-41 
B","Parbha
ni",0,336.8,0,336.8,0,320.0,0,320.0,,10.3,,10.3,,0,,0,,99.0,,99.0,,109.2,,109.2,0,10.3,0,10.3,0,210.7,0,210.7,,"34.
1",,"34.
1",,safe,,safe
